File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
trunk/libmesh/include/numerics/type_vector.h,6b29e49,2.0,10.0,0.0,212.0,466.0,163.0,1.0,1.0,1.0,1.0,12.0,2.0,6.0,0.0,1.0,29.0,840.0,208.0,330.0,194.0,97.0,159.0,57.0,87.0,129.0,166.0,107.0,0.0,59.0,3.0,3.0,3.0,1.0,2.0,0.48,37.0,37.0,39.0,29.0,0.0
trunk/libmesh/include/base/libmesh_common.h,6b29e49,0.0,2.0,0.0,62.0,117.0,55.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,16.0,232.0,62.0,37.0,23.0,16.0,52.0,27.0,71.0,20.0,37.0,21.0,0.0,16.0,2.0,2.0,2.0,1.0,0.0,1.41,28.0,28.0,28.0,16.0,0.0
trunk/libmesh/include/numerics/type_tensor.h,6b29e49,1.0,11.0,0.0,176.0,457.0,150.0,2.0,2.0,2.0,1.0,13.0,1.0,8.0,0.0,1.0,29.0,782.0,174.0,360.0,181.0,141.0,147.0,50.0,52.0,123.0,170.0,82.0,0.0,88.0,4.0,4.0,4.0,1.0,3.0,0.41,47.0,47.0,47.0,29.0,0.0
trunk/libmesh/src/solvers/continuation_system.C,6b29e49,18.0,43.0,37.0,311.0,602.0,543.0,6.0,6.0,7.0,2.0,96.0,18.0,43.0,37.0,0.0,14.0,1424.0,311.0,597.0,101.0,435.0,543.0,0.0,5.0,292.0,375.0,60.0,0.0,315.0,45.0,45.0,54.0,18.0,6.0,0.91,84.0,84.0,93.0,31.0,0.0
trunk/libmesh/src/solvers/continuation_system.C,6b29e49,3.0,16.0,2.0,232.0,566.0,94.0,2.0,2.0,2.0,1.0,22.0,3.0,13.0,2.0,0.0,34.0,890.0,217.0,454.0,103.0,264.0,82.0,101.0,43.0,198.0,274.0,68.0,1.0,205.0,18.0,18.0,20.0,4.0,5.0,0.18,77.0,77.0,79.0,39.0,0.0
trunk/libmesh/src/solvers/system.C,6b29e49,3.0,16.0,2.0,232.0,566.0,94.0,2.0,2.0,2.0,1.0,22.0,3.0,13.0,2.0,0.0,34.0,890.0,217.0,454.0,103.0,264.0,82.0,101.0,43.0,198.0,274.0,68.0,1.0,205.0,18.0,18.0,20.0,4.0,5.0,0.18,77.0,77.0,79.0,39.0,0.0
trunk/libmesh/src/numerics/laspack_vector.C,6b29e49,0.0,0.0,0.0,152.0,255.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,10.0,0.0,0.0,0.0,18.0,400.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trunk/libmesh/src/numerics/type_tensor.C,6b29e49,2.0,20.0,0.0,47.0,127.0,21.0,4.0,4.0,4.0,3.0,22.0,1.0,16.0,0.0,0.0,4.0,194.0,37.0,70.0,13.0,48.0,21.0,54.0,13.0,25.0,41.0,10.0,0.0,31.0,5.0,5.0,5.0,5.0,3.0,0.3,15.0,15.0,15.0,12.0,0.0
trunk/libmesh/src/mesh/exodusII_io.C,6b29e49,16.0,41.0,14.0,312.0,686.0,544.0,1.0,1.0,1.0,1.0,66.0,2.0,7.0,1.0,0.0,3.0,1481.0,25.0,22.0,5.0,11.0,24.0,1395.0,22.0,7.0,10.0,3.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,1.09,3.0,3.0,3.0,3.0,1.0
trunk/libmesh/src/mesh/exodusII_io.C,cfdc428,16.0,41.0,14.0,312.0,686.0,544.0,1.0,1.0,1.0,1.0,66.0,2.0,7.0,1.0,0.0,3.0,1481.0,25.0,22.0,5.0,11.0,24.0,1395.0,22.0,7.0,10.0,3.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,1.09,3.0,3.0,3.0,3.0,0.0
trunk/libmesh/include/parallel/parallel.h,cfdc428,0.0,3.0,0.0,243.0,825.0,228.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,21.0,1291.0,70.0,142.0,126.0,20.0,141.0,924.0,21.0,37.0,59.0,48.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0,0.99,21.0,21.0,21.0,21.0,1.0
trunk/libmesh/include/parallel/parallel.h,9cf8e4f,0.0,3.0,0.0,291.0,973.0,249.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,21.0,1508.0,68.0,140.0,124.0,21.0,143.0,1143.0,21.0,36.0,58.0,47.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0,1.02,21.0,21.0,21.0,21.0,0.0
trunk/libmesh/include/numerics/type_vector.h,9a5f92a,2.0,11.0,0.0,195.0,471.0,164.0,1.0,1.0,1.0,1.0,13.0,2.0,5.0,0.0,1.0,30.0,829.0,195.0,299.0,194.0,48.0,164.0,84.0,88.0,84.0,124.0,78.0,0.0,46.0,3.0,3.0,3.0,1.0,2.0,0.55,40.0,40.0,40.0,30.0,1.0
trunk/libmesh/include/numerics/type_vector.h,69c485b,2.0,11.0,0.0,195.0,471.0,164.0,1.0,1.0,1.0,1.0,13.0,2.0,5.0,0.0,1.0,30.0,829.0,195.0,299.0,194.0,48.0,164.0,84.0,88.0,84.0,124.0,78.0,0.0,46.0,3.0,3.0,3.0,1.0,2.0,0.55,40.0,40.0,40.0,30.0,0.0
trunk/libmesh/include/numerics/type_tensor.h,69c485b,1.0,12.0,0.0,178.0,491.0,150.0,2.0,2.0,2.0,1.0,13.0,1.0,7.0,0.0,1.0,29.0,818.0,178.0,336.0,215.0,81.0,150.0,103.0,52.0,120.0,169.0,84.0,0.0,85.0,4.0,4.0,4.0,1.0,3.0,0.45,49.0,49.0,51.0,29.0,1.0
trunk/libmesh/include/numerics/type_tensor.h,79a0d69,1.0,12.0,0.0,178.0,491.0,150.0,2.0,2.0,2.0,1.0,13.0,1.0,7.0,0.0,1.0,29.0,818.0,178.0,336.0,215.0,81.0,150.0,103.0,52.0,120.0,169.0,84.0,0.0,85.0,4.0,4.0,4.0,1.0,3.0,0.45,49.0,49.0,51.0,29.0,0.0
trunk/libmesh/include/numerics/type_vector.h,79a0d69,2.0,11.0,0.0,195.0,471.0,164.0,1.0,1.0,1.0,1.0,13.0,2.0,5.0,0.0,1.0,30.0,829.0,195.0,299.0,194.0,48.0,164.0,84.0,88.0,84.0,123.0,77.0,0.0,46.0,3.0,3.0,3.0,1.0,2.0,0.55,40.0,40.0,40.0,30.0,1.0
trunk/libmesh/include/numerics/type_tensor.h,79a0d69,1.0,12.0,0.0,178.0,491.0,150.0,2.0,2.0,2.0,1.0,13.0,1.0,7.0,0.0,1.0,29.0,818.0,178.0,336.0,215.0,81.0,150.0,103.0,52.0,120.0,170.0,85.0,0.0,85.0,4.0,4.0,4.0,1.0,3.0,0.45,49.0,49.0,51.0,29.0,1.0
trunk/libmesh/include/numerics/type_vector.h,bfafba9,2.0,11.0,0.0,195.0,471.0,164.0,1.0,1.0,1.0,1.0,13.0,2.0,5.0,0.0,1.0,30.0,829.0,195.0,299.0,194.0,48.0,164.0,84.0,88.0,84.0,123.0,77.0,0.0,46.0,3.0,3.0,3.0,1.0,2.0,0.55,40.0,40.0,40.0,30.0,0.0
trunk/libmesh/include/numerics/type_tensor.h,bfafba9,1.0,12.0,0.0,178.0,491.0,150.0,2.0,2.0,2.0,1.0,13.0,1.0,7.0,0.0,1.0,29.0,818.0,178.0,336.0,215.0,81.0,150.0,103.0,52.0,120.0,170.0,85.0,0.0,85.0,4.0,4.0,4.0,1.0,3.0,0.45,49.0,49.0,51.0,29.0,0.0
trunk/libmesh/src/numerics/exact_error_estimator.C,0029bcc,10.0,42.0,11.0,79.0,266.0,84.0,4.0,4.0,5.0,1.0,62.0,10.0,29.0,9.0,0.0,6.0,424.0,75.0,176.0,56.0,114.0,76.0,66.0,47.0,98.0,123.0,38.0,1.0,84.0,11.0,11.0,12.0,4.0,3.0,0.43,25.0,25.0,27.0,9.0,1.0
trunk/libmesh/src/numerics/uniform_refinement_estimator.C,0029bcc,0.0,0.0,0.0,94.0,389.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,8.0,0.0,0.0,0.0,19.0,543.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
trunk/libmesh/src/solvers/system.C,0029bcc,3.0,16.0,2.0,232.0,566.0,94.0,2.0,2.0,2.0,1.0,22.0,3.0,13.0,2.0,0.0,34.0,890.0,217.0,454.0,112.0,258.0,82.0,101.0,43.0,198.0,274.0,75.0,1.0,198.0,18.0,18.0,20.0,4.0,5.0,0.18,77.0,77.0,79.0,39.0,1.0
trunk/libmesh/src/mesh/gmsh_io.C,0029bcc,16.0,86.0,21.0,140.0,627.0,187.0,11.0,9.0,12.0,1.0,121.0,15.0,84.0,21.0,0.0,7.0,937.0,138.0,606.0,103.0,411.0,187.0,12.0,13.0,349.0,430.0,93.0,5.0,332.0,34.0,32.0,35.0,1.0,9.0,0.31,79.0,63.0,84.0,7.0,1.0
trunk/libmesh/src/numerics/hp_coarsentest.C,0029bcc,0.0,0.0,0.0,100.0,389.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,8.0,0.0,0.0,0.0,19.0,559.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
trunk/libmesh/src/solvers/exact_solution.C,0029bcc,6.0,21.0,11.0,119.0,247.0,133.0,2.0,2.0,2.0,1.0,38.0,6.0,17.0,10.0,0.0,11.0,497.0,117.0,189.0,78.0,113.0,129.0,37.0,37.0,93.0,116.0,47.0,1.0,68.0,10.0,10.0,11.0,1.0,3.0,0.68,24.0,24.0,25.0,11.0,1.0
trunk/libmesh/src/numerics/exact_error_estimator.C,ebfddb8,10.0,37.0,11.0,78.0,236.0,83.0,4.0,4.0,5.0,1.0,57.0,9.0,29.0,9.0,0.0,6.0,392.0,74.0,176.0,56.0,114.0,76.0,43.0,28.0,98.0,123.0,38.0,1.0,84.0,11.0,11.0,12.0,4.0,3.0,0.43,25.0,25.0,27.0,9.0,0.0
trunk/libmesh/src/numerics/uniform_refinement_estimator.C,ebfddb8,0.0,0.0,0.0,93.0,349.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,8.0,0.0,0.0,0.0,19.0,501.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trunk/libmesh/src/solvers/system.C,ebfddb8,3.0,16.0,2.0,232.0,556.0,94.0,2.0,2.0,2.0,1.0,21.0,3.0,13.0,2.0,0.0,34.0,880.0,217.0,454.0,112.0,255.0,82.0,94.0,37.0,199.0,275.0,75.0,1.0,199.0,18.0,18.0,20.0,4.0,5.0,0.18,77.0,77.0,79.0,39.0,0.0
trunk/libmesh/src/mesh/gmsh_io.C,ebfddb8,15.0,86.0,21.0,138.0,623.0,187.0,11.0,9.0,12.0,1.0,120.0,15.0,84.0,21.0,0.0,7.0,931.0,138.0,606.0,103.0,411.0,187.0,6.0,11.0,349.0,430.0,93.0,5.0,332.0,34.0,32.0,35.0,1.0,9.0,0.31,79.0,63.0,84.0,7.0,0.0
trunk/libmesh/src/numerics/hp_coarsentest.C,ebfddb8,0.0,0.0,0.0,98.0,367.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,8.0,0.0,0.0,0.0,19.0,535.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trunk/libmesh/src/solvers/exact_solution.C,ebfddb8,6.0,19.0,11.0,118.0,221.0,132.0,2.0,2.0,2.0,1.0,35.0,6.0,17.0,10.0,0.0,11.0,469.0,116.0,189.0,78.0,113.0,129.0,16.0,21.0,93.0,116.0,47.0,1.0,68.0,10.0,10.0,11.0,1.0,3.0,0.68,24.0,24.0,25.0,11.0,0.0
trunk/libmesh/src/mesh/gmsh_io.C,4426a10,15.0,86.0,21.0,138.0,623.0,187.0,11.0,9.0,12.0,1.0,120.0,15.0,84.0,21.0,0.0,7.0,931.0,138.0,606.0,103.0,411.0,187.0,6.0,11.0,349.0,430.0,93.0,5.0,332.0,34.0,32.0,35.0,1.0,9.0,0.31,79.0,63.0,84.0,7.0,1.0
trunk/libmesh/src/mesh/gmsh_io.C,ff59350,15.0,86.0,22.0,139.0,625.0,188.0,11.0,9.0,12.0,1.0,121.0,15.0,84.0,22.0,0.0,7.0,935.0,139.0,608.0,104.0,413.0,188.0,6.0,11.0,351.0,432.0,94.0,5.0,333.0,34.0,32.0,35.0,1.0,9.0,0.31,79.0,63.0,84.0,7.0,0.0
trunk/libmesh/src/mesh/mesh_refinement.C,6261bad,0.0,0.0,0.0,402.0,1348.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2159.0,8.0,0.0,0.0,0.0,18.0,2129.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
trunk/libmesh/src/mesh/mesh_refinement.C,21e7fee,0.0,0.0,0.0,403.0,1352.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2168.0,8.0,0.0,0.0,0.0,18.0,2138.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trunk/libmesh/src/solvers/equation_systems_io.C,0969f74,16.0,69.0,58.0,66.0,219.0,196.0,12.0,12.0,12.0,1.0,143.0,16.0,66.0,58.0,0.0,3.0,479.0,66.0,200.0,46.0,127.0,196.0,3.0,16.0,107.0,141.0,41.0,1.0,99.0,22.0,22.0,22.0,1.0,3.0,0.98,37.0,37.0,37.0,3.0,1.0
trunk/libmesh/src/solvers/equation_systems_io.C,50e832a,16.0,68.0,58.0,66.0,217.0,196.0,12.0,12.0,12.0,1.0,143.0,16.0,66.0,58.0,0.0,3.0,477.0,66.0,201.0,46.0,128.0,196.0,2.0,14.0,108.0,142.0,41.0,1.0,100.0,22.0,22.0,22.0,1.0,3.0,0.98,37.0,37.0,37.0,3.0,0.0
trunk/libmesh/include/parallel/parallel.h,50e832a,0.0,3.0,0.0,291.0,973.0,249.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,21.0,1508.0,68.0,140.0,124.0,21.0,143.0,1143.0,21.0,36.0,58.0,47.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0,1.02,21.0,21.0,21.0,21.0,1.0
trunk/libmesh/include/parallel/parallel.h,5c8d182,0.0,3.0,0.0,291.0,973.0,249.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,21.0,1508.0,68.0,140.0,124.0,21.0,143.0,1143.0,21.0,36.0,58.0,47.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0,1.02,21.0,21.0,21.0,21.0,0.0
trunk/libmesh/include/enums/enum_fe_family.h,c10b999,0.0,0.0,0.0,22.0,22.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,22.0,19.0,18.0,0.0,35.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,1.0
trunk/libmesh/include/enums/enum_fe_family.h,8680235,0.0,0.0,0.0,22.0,22.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,22.0,19.0,18.0,0.0,35.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0
trunk/libmesh/include/enums/enum_fe_family.h,8680235,0.0,0.0,0.0,22.0,22.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,22.0,19.0,18.0,0.0,35.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,1.0
trunk/libmesh/include/enums/enum_fe_family.h,25d4205,0.0,0.0,0.0,22.0,22.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,22.0,19.0,18.0,0.0,35.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0
trunk/libmesh/include/solvers/unsteady_solver.h,5185452,0.0,0.0,0.0,26.0,24.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,144.0,26.0,17.0,13.0,1.0,95.0,0.0,7.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59,0.0,0.0,0.0,0.0,1.0
trunk/libmesh/include/solvers/time_solver.h,5185452,0.0,1.0,0.0,36.0,37.0,129.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,201.0,36.0,29.0,25.0,4.0,129.0,0.0,8.0,24.0,27.0,25.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.45,3.0,3.0,3.0,3.0,1.0
trunk/libmesh/src/solvers/unsteady_solver.C,5185452,3.0,14.0,1.0,46.0,100.0,8.0,2.0,2.0,3.0,1.0,18.0,3.0,14.0,1.0,0.0,7.0,152.0,46.0,95.0,29.0,57.0,8.0,0.0,5.0,35.0,51.0,16.0,0.0,35.0,7.0,7.0,9.0,5.0,5.0,0.08,16.0,16.0,18.0,13.0,1.0
trunk/libmesh/include/solvers/steady_solver.h,5185452,0.0,1.0,0.0,23.0,18.0,62.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,102.0,23.0,14.0,11.0,2.0,62.0,0.0,4.0,10.0,13.0,11.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.43,3.0,3.0,3.0,3.0,1.0
trunk/libmesh/include/solvers/unsteady_solver.h,5185452,0.0,1.0,0.0,23.0,18.0,62.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,102.0,23.0,14.0,11.0,2.0,62.0,0.0,4.0,10.0,13.0,11.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.43,3.0,3.0,3.0,3.0,1.0
trunk/libmesh/include/solvers/unsteady_solver.h,3e2103a,0.0,0.0,0.0,26.0,24.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,141.0,26.0,17.0,13.0,0.0,92.0,0.0,7.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,0.0,0.0,0.0,0.0,0.0
trunk/libmesh/include/solvers/time_solver.h,3e2103a,0.0,1.0,0.0,36.0,37.0,129.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,201.0,36.0,29.0,25.0,4.0,129.0,0.0,8.0,24.0,27.0,25.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.45,3.0,3.0,3.0,3.0,0.0
trunk/libmesh/src/solvers/unsteady_solver.C,3e2103a,3.0,14.0,1.0,46.0,100.0,8.0,2.0,2.0,3.0,1.0,18.0,3.0,14.0,1.0,0.0,7.0,152.0,46.0,95.0,29.0,57.0,8.0,0.0,5.0,35.0,51.0,16.0,0.0,35.0,7.0,7.0,9.0,5.0,5.0,0.08,16.0,16.0,18.0,13.0,0.0
trunk/libmesh/include/solvers/steady_solver.h,3e2103a,0.0,1.0,0.0,23.0,18.0,62.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,102.0,23.0,14.0,11.0,2.0,62.0,0.0,4.0,11.0,13.0,11.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.43,3.0,3.0,3.0,3.0,0.0
trunk/libmesh/include/solvers/unsteady_solver.h,3e2103a,0.0,1.0,0.0,23.0,18.0,62.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,102.0,23.0,14.0,11.0,2.0,62.0,0.0,4.0,11.0,13.0,11.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.43,3.0,3.0,3.0,3.0,0.0
trunk/libmesh/include/solvers/unsteady_solver.h,9cbfb5a,0.0,0.0,0.0,26.0,24.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,141.0,26.0,17.0,13.0,0.0,92.0,0.0,7.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,0.0,0.0,0.0,0.0,1.0
trunk/libmesh/src/solvers/unsteady_solver.C,9cbfb5a,3.0,12.0,1.0,42.0,89.0,8.0,2.0,2.0,2.0,1.0,16.0,3.0,12.0,1.0,0.0,7.0,137.0,42.0,84.0,29.0,48.0,8.0,0.0,5.0,31.0,45.0,16.0,0.0,29.0,7.0,7.0,9.0,5.0,5.0,0.1,14.0,14.0,16.0,11.0,1.0
trunk/libmesh/src/solvers/time_solver.C,9cbfb5a,0.0,4.0,0.0,22.0,35.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,0.0,7.0,59.0,22.0,30.0,11.0,6.0,2.0,0.0,5.0,5.0,13.0,7.0,0.0,6.0,2.0,2.0,2.0,1.0,1.0,0.07,8.0,8.0,8.0,7.0,1.0
trunk/libmesh/include/solvers/unsteady_solver.h,1aebdf4,0.0,0.0,0.0,25.0,23.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,129.0,25.0,16.0,12.0,0.0,82.0,0.0,7.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0
trunk/libmesh/src/solvers/unsteady_solver.C,1aebdf4,3.0,12.0,1.0,42.0,88.0,8.0,2.0,2.0,2.0,1.0,16.0,3.0,12.0,1.0,0.0,7.0,136.0,42.0,83.0,28.0,48.0,8.0,0.0,5.0,31.0,45.0,16.0,0.0,29.0,7.0,7.0,9.0,5.0,5.0,0.1,14.0,14.0,16.0,11.0,0.0
trunk/libmesh/src/solvers/time_solver.C,1aebdf4,0.0,4.0,0.0,22.0,36.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,0.0,7.0,60.0,22.0,31.0,12.0,6.0,2.0,0.0,5.0,5.0,13.0,7.0,0.0,6.0,2.0,2.0,2.0,1.0,1.0,0.06,8.0,8.0,8.0,7.0,0.0
trunk/libmesh/src/mesh/mesh_tools.C,d8db651,2.0,11.0,2.0,195.0,473.0,101.0,3.0,3.0,3.0,1.0,15.0,2.0,11.0,2.0,2.0,40.0,761.0,195.0,460.0,177.0,249.0,101.0,0.0,13.0,253.0,357.0,134.0,16.0,207.0,15.0,15.0,15.0,1.0,7.0,0.22,103.0,103.0,106.0,40.0,1.0
trunk/libmesh/src/mesh/mesh_tools.C,ecd4376,2.0,11.0,2.0,195.0,471.0,101.0,3.0,3.0,3.0,1.0,15.0,2.0,11.0,2.0,2.0,40.0,759.0,195.0,458.0,177.0,248.0,101.0,0.0,13.0,253.0,357.0,134.0,16.0,207.0,15.0,15.0,15.0,1.0,7.0,0.22,103.0,103.0,106.0,40.0,0.0
trunk/libmesh/src/mesh/mesh_tools.C,c3510d2,2.0,11.0,2.0,195.0,471.0,101.0,3.0,3.0,3.0,1.0,15.0,2.0,11.0,2.0,2.0,40.0,759.0,195.0,458.0,177.0,248.0,101.0,0.0,13.0,253.0,357.0,134.0,16.0,207.0,15.0,15.0,15.0,1.0,7.0,0.22,103.0,103.0,106.0,40.0,1.0
trunk/libmesh/src/mesh/mesh_tools.C,8a35332,2.0,11.0,2.0,197.0,480.0,101.0,3.0,3.0,3.0,1.0,15.0,2.0,11.0,2.0,2.0,40.0,770.0,197.0,467.0,178.0,254.0,101.0,0.0,13.0,257.0,362.0,135.0,16.0,211.0,15.0,15.0,15.0,1.0,7.0,0.22,104.0,104.0,107.0,40.0,0.0
trunk/libmesh/include/numerics/patch_recovery_error_estimator.h,8a35332,0.0,2.0,0.0,25.0,27.0,49.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,100.0,25.0,19.0,15.0,1.0,49.0,0.0,8.0,6.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.58,2.0,2.0,2.0,2.0,1.0
trunk/libmesh/src/numerics/patch_recovery_error_estimator.C,8a35332,29.0,132.0,43.0,71.0,280.0,105.0,18.0,17.0,18.0,3.0,197.0,28.0,108.0,40.0,0.0,2.0,442.0,68.0,215.0,57.0,149.0,100.0,45.0,28.0,141.0,178.0,51.0,2.0,125.0,26.0,26.0,26.0,5.0,6.0,0.47,36.0,34.0,36.0,6.0,1.0
trunk/libmesh/src/mesh/patch.C,8a35332,4.0,19.0,5.0,58.0,137.0,55.0,2.0,2.0,3.0,1.0,26.0,3.0,15.0,4.0,0.0,7.0,238.0,54.0,102.0,26.0,62.0,51.0,31.0,10.0,60.0,77.0,24.0,4.0,49.0,4.0,4.0,5.0,3.0,3.0,0.5,17.0,17.0,19.0,9.0,1.0
trunk/libmesh/include/numerics/patch_recovery_error_estimator.h,77dfa64,0.0,4.0,0.0,29.0,45.0,53.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,3.0,126.0,29.0,36.0,28.0,1.0,53.0,0.0,9.0,12.0,15.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.47,3.0,3.0,3.0,3.0,0.0
trunk/libmesh/src/numerics/patch_recovery_error_estimator.C,77dfa64,34.0,92.0,108.0,118.0,293.0,345.0,12.0,12.0,12.0,2.0,230.0,33.0,75.0,107.0,0.0,3.0,742.0,115.0,224.0,59.0,155.0,340.0,46.0,31.0,141.0,179.0,53.0,1.0,125.0,24.0,24.0,24.0,5.0,6.0,1.52,37.0,35.0,37.0,7.0,0.0
trunk/libmesh/src/mesh/patch.C,77dfa64,4.0,17.0,5.0,58.0,124.0,55.0,2.0,2.0,3.0,1.0,25.0,3.0,13.0,4.0,0.0,7.0,225.0,54.0,90.0,26.0,50.0,51.0,31.0,9.0,48.0,65.0,24.0,4.0,37.0,4.0,4.0,5.0,3.0,3.0,0.57,17.0,17.0,19.0,9.0,0.0
trunk/libmesh/src/mesh/mesh_tools.C,77dfa64,2.0,11.0,2.0,197.0,480.0,101.0,3.0,3.0,3.0,1.0,15.0,2.0,11.0,2.0,2.0,40.0,770.0,197.0,467.0,178.0,254.0,101.0,0.0,13.0,257.0,362.0,135.0,16.0,211.0,15.0,15.0,15.0,1.0,7.0,0.22,104.0,104.0,107.0,40.0,1.0
