File,index,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
pair_lj_cut_tip4p_long_opt.h,442,0.0,1.0,0.0,12.0,22.0,25.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,59.0,10.0,14.0,11.0,0.0,25.0,3.0,7.0,7.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.79,1.0,1.0,1.0,1.0,0,0.0,0
pair_coul_long_soft.cpp,443,3.0,17.0,0.0,80.0,265.0,50.0,4.0,4.0,4.0,1.0,21.0,3.0,17.0,0.0,0.0,14.0,395.0,80.0,243.0,46.0,172.0,50.0,0.0,22.0,178.0,232.0,43.0,0.0,189.0,11.0,11.0,13.0,4.0,5.0,0.21,54.0,54.0,56.0,17.0,0,0.0,0
pair_coul_long_soft.h,444,0.0,0.0,0.0,12.0,35.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,10.0,27.0,24.0,0.0,34.0,3.0,7.0,22.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0,0.0,0
data_layouts.cpp,445,1.0,6.0,2.0,18.0,66.0,88.0,1.0,1.0,1.0,1.0,10.0,1.0,6.0,2.0,0.0,7.0,171.0,18.0,63.0,38.0,23.0,88.0,0.0,3.0,42.0,51.0,31.0,0.0,20.0,2.0,2.0,2.0,1.0,1.0,1.4,9.0,9.0,9.0,7.0,2,3.0,1
TestHybridFEM.cpp,446,9.0,43.0,0.0,71.0,227.0,52.0,6.0,6.0,6.0,1.0,52.0,9.0,40.0,0.0,0.0,3.0,348.0,58.0,170.0,82.0,90.0,52.0,59.0,11.0,70.0,86.0,42.0,0.0,44.0,8.0,8.0,9.0,1.0,2.0,0.31,17.0,17.0,18.0,3.0,2,3.0,1
ParallelComm.hpp,447,0.0,3.0,0.0,39.0,82.0,49.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,6.0,167.0,22.0,25.0,14.0,9.0,49.0,66.0,10.0,10.0,19.0,9.0,0.0,10.0,3.0,3.0,3.0,1.0,2.0,1.96,8.0,8.0,8.0,6.0,0,0.0,0
Kokkos_hwloc.hpp,448,0.0,0.0,0.0,22.0,28.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,22.0,24.0,24.0,0.0,99.0,0.0,4.0,10.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0,0.0,0
fix_nh_kokkos.h,449,0.0,0.0,0.0,21.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,21.0,45.0,42.0,0.0,25.0,0.0,5.0,31.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0,0.0,0
fix_nh.h,450,0.0,0.0,0.0,25.0,108.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,275.0,25.0,104.0,101.0,0.0,184.0,0.0,4.0,99.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,2,3.0,1
kokkos_type.h,451,0.0,7.0,0.0,135.0,728.0,74.0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,0.0,21.0,937.0,95.0,433.0,312.0,102.0,48.0,290.0,75.0,360.0,379.0,261.0,0.0,118.0,1.0,1.0,1.0,1.0,0.0,0.11,21.0,21.0,21.0,21.0,6,10.0,4
TestCuda_SubView_b.cpp,452,0.0,5.0,0.0,5.0,13.0,43.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,2.0,60.0,5.0,12.0,4.0,6.0,43.0,0.0,1.0,6.0,9.0,3.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,3.58,2.0,2.0,2.0,2.0,8,10.0,5
TestCuda.hpp,453,0.0,0.0,0.0,17.0,50.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,111.0,16.0,7.0,5.0,0.0,44.0,12.0,32.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29,0.0,0.0,0.0,0.0,0,0.0,0
pair_coul_long_omp.cpp,454,5.0,34.0,1.0,31.0,154.0,18.0,5.0,5.0,6.0,1.0,39.0,5.0,34.0,1.0,0.0,4.0,202.0,31.0,136.0,28.0,95.0,18.0,1.0,18.0,98.0,120.0,26.0,0.0,94.0,12.0,12.0,15.0,1.0,5.0,0.13,21.0,21.0,25.0,4.0,0,0.0,0
pair_coul_long_omp.h,455,0.0,0.0,0.0,13.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,11.0,11.0,8.0,0.0,15.0,3.0,8.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0,0.0,0
pair_lj_sdk_omp.cpp,456,6.0,31.0,1.0,35.0,135.0,19.0,6.0,6.0,6.0,2.0,37.0,6.0,30.0,1.0,0.0,4.0,188.0,35.0,123.0,33.0,90.0,19.0,1.0,12.0,83.0,107.0,32.0,0.0,75.0,13.0,13.0,14.0,7.0,5.0,0.15,22.0,22.0,24.0,10.0,0,0.0,0
pair_lj_sdk_omp.h,457,0.0,0.0,0.0,13.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,11.0,11.0,8.0,0.0,15.0,4.0,8.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,5,5.0,4
lj_sdk_common.h,458,1.0,6.0,0.0,8.0,18.0,17.0,3.0,3.0,3.0,3.0,7.0,1.0,6.0,0.0,0.0,1.0,43.0,8.0,14.0,11.0,7.0,17.0,0.0,4.0,9.0,14.0,9.0,0.0,5.0,3.0,3.0,3.0,3.0,2.0,1.21,3.0,3.0,3.0,3.0,5,5.0,4
fix_mscg.cpp,459,5.0,33.0,1.0,51.0,247.0,32.0,7.0,7.0,7.0,1.0,39.0,5.0,33.0,1.0,0.0,7.0,330.0,51.0,231.0,40.0,192.0,32.0,0.0,16.0,178.0,227.0,40.0,0.0,187.0,18.0,18.0,19.0,1.0,3.0,0.14,47.0,47.0,50.0,7.0,3,4.0,2
fix_mscg.h,460,0.0,0.0,0.0,11.0,31.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91.0,9.0,22.0,19.0,0.0,49.0,3.0,8.0,17.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,3,6.0,2
pair_eam_omp.cpp,461,11.0,50.0,8.0,54.0,210.0,45.0,9.0,9.0,9.0,1.0,68.0,11.0,47.0,8.0,0.0,4.0,308.0,54.0,191.0,28.0,149.0,45.0,3.0,19.0,150.0,177.0,26.0,0.0,151.0,23.0,23.0,25.0,1.0,4.0,0.24,34.0,34.0,37.0,4.0,0,0.0,0
pair_eam_omp.h,462,0.0,0.0,0.0,13.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,11.0,11.0,8.0,0.0,15.0,3.0,8.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0,0.0,0
ElectronHeatCapacity.cpp,463,0.0,14.0,1.0,9.0,67.0,2.0,4.0,4.0,4.0,2.0,14.0,0.0,14.0,1.0,0.0,4.0,78.0,9.0,62.0,26.0,20.0,2.0,0.0,5.0,22.0,43.0,13.0,0.0,30.0,6.0,6.0,6.0,4.0,2.0,0.03,14.0,14.0,14.0,10.0,0,0.0,0
ElectronHeatCapacity.h,464,0.0,7.0,0.0,19.0,179.0,29.0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,5.0,18.0,225.0,19.0,172.0,92.0,67.0,29.0,0.0,7.0,97.0,102.0,65.0,0.0,37.0,1.0,1.0,1.0,1.0,0.0,0.17,18.0,18.0,18.0,18.0,0,0.0,0
pair_nm_cut_coul_long.cpp,465,3.0,26.0,0.0,91.0,439.0,60.0,5.0,5.0,6.0,1.0,30.0,3.0,26.0,0.0,0.0,16.0,590.0,91.0,415.0,73.0,319.0,60.0,0.0,24.0,308.0,394.0,71.0,0.0,323.0,18.0,18.0,22.0,6.0,6.0,0.14,86.0,86.0,94.0,21.0,7,21.0,6
pair_nm_cut_coul_long.h,466,0.0,0.0,0.0,14.0,37.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.0,12.0,29.0,26.0,0.0,39.0,3.0,7.0,24.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0,0.0,0
VoigtOperations.h,467,0.0,10.0,0.0,31.0,194.0,46.0,1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,0.0,19.0,265.0,31.0,189.0,40.0,117.0,46.0,0.0,5.0,184.0,210.0,39.0,0.0,171.0,4.0,4.0,4.0,1.0,3.0,0.24,25.0,25.0,25.0,19.0,0,0.0,0
DependencyManager.h,468,0.0,2.0,0.0,94.0,143.0,89.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,6.0,56.0,326.0,94.0,136.0,93.0,46.0,89.0,0.0,7.0,135.0,147.0,78.0,0.0,69.0,3.0,3.0,3.0,1.0,2.0,0.65,60.0,60.0,61.0,56.0,0,0.0,0
ATC_TypeDefs.h,469,0.0,22.0,0.0,42.0,549.0,102.0,9.0,6.0,10.0,5.0,22.0,0.0,22.0,0.0,0.0,13.0,631.0,42.0,533.0,261.0,288.0,102.0,1.0,16.0,197.0,320.0,84.0,0.0,236.0,40.0,40.0,40.0,40.0,3.0,0.19,122.0,84.0,135.0,70.0,0,0.0,0
MPI_Wrappers.h,470,0.0,0.0,0.0,8.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,8.0,31.0,31.0,13.0,1.0,0.0,6.0,30.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0,0.0,0
pair_meam_spline.h,471,0.0,10.0,1.0,35.0,166.0,114.0,1.0,1.0,1.0,1.0,11.0,0.0,7.0,1.0,2.0,9.0,281.0,33.0,128.0,73.0,48.0,108.0,30.0,14.0,96.0,110.0,72.0,0.0,38.0,3.0,3.0,3.0,3.0,1.0,0.84,13.0,13.0,13.0,13.0,8,9.0,6
fix_cmap.h,472,0.0,0.0,0.0,33.0,76.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,130.0,31.0,68.0,65.0,0.0,21.0,3.0,7.0,61.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,2,3.0,1
dump_custom_vtk.cpp,473,8.0,56.0,3.0,330.0,1914.0,177.0,15.0,15.0,17.0,3.0,66.0,8.0,55.0,3.0,0.0,33.0,2398.0,328.0,1817.0,269.0,1565.0,177.0,32.0,79.0,1320.0,1819.0,256.0,1.0,1562.0,148.0,143.0,155.0,51.0,5.0,0.1,497.0,487.0,549.0,100.0,4,5.0,3
dump_custom_vtk.h,474,0.0,0.0,0.0,26.0,79.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,320.0,24.0,65.0,62.0,0.0,227.0,3.0,13.0,60.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,4,5.0,3
reaxc_valence_angles.h,494,0.0,0.0,0.0,6.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,4.0,4.0,0.0,25.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0,0.0,0
lal_preprocessor.h,495,0.0,1.0,0.0,91.0,349.0,91.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,531.0,27.0,1.0,1.0,1.0,91.0,365.0,318.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,91.0,1.0,1.0,1.0,1.0,0,0.0,0
ReadFrcFile.c,496,4.0,57.0,4.0,14.0,120.0,14.0,8.0,8.0,8.0,1.0,62.0,4.0,57.0,4.0,0.0,2.0,143.0,14.0,116.0,5.0,95.0,14.0,0.0,4.0,63.0,79.0,4.0,0.0,75.0,13.0,13.0,13.0,1.0,2.0,0.12,16.0,16.0,16.0,2.0,0,0.0,0
msi2lmp.h,497,0.0,0.0,0.0,29.0,160.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,29.0,141.0,126.0,0.0,62.0,0.0,19.0,126.0,126.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,5,7.0,4
Forcefield.h,498,0.0,0.0,0.0,6.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,19.0,17.0,0.0,14.0,0.0,2.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0,0.0,0
pair_lj_expand.cpp,499,3.0,19.0,0.0,71.0,304.0,52.0,4.0,4.0,4.0,1.0,22.0,3.0,19.0,0.0,0.0,15.0,427.0,71.0,292.0,62.0,213.0,52.0,0.0,12.0,218.0,279.0,61.0,0.0,218.0,9.0,9.0,11.0,4.0,4.0,0.18,60.0,60.0,63.0,18.0,9,23.0,7
pair_lj_expand.h,500,0.0,0.0,0.0,13.0,33.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,11.0,25.0,22.0,0.0,25.0,3.0,7.0,20.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0
phonon.cpp,501,8.0,43.0,3.0,174.0,821.0,116.0,11.0,11.0,11.0,3.0,53.0,7.0,39.0,2.0,0.0,19.0,1107.0,160.0,733.0,186.0,595.0,107.0,93.0,19.0,718.0,891.0,186.0,0.0,705.0,41.0,41.0,41.0,13.0,5.0,0.15,203.0,203.0,213.0,63.0,4,8.0,3
phonon.h,502,0.0,0.0,0.0,16.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,16.0,33.0,29.0,0.0,0.0,2.0,10.0,30.0,31.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
green.h,503,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,5.0,16.0,13.0,0.0,0.0,0.0,4.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
global.h,505,0.0,0.0,0.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
pair_comb.cpp,508,8.0,32.0,3.0,441.0,1495.0,219.0,6.0,6.0,8.0,2.0,42.0,8.0,32.0,3.0,0.0,46.0,2135.0,441.0,1474.0,232.0,1154.0,219.0,0.0,21.0,1169.0,1446.0,206.0,0.0,1240.0,40.0,40.0,61.0,24.0,6.0,0.15,275.0,275.0,345.0,129.0,2,2.0,1
pair_comb.h,509,0.0,6.0,0.0,27.0,146.0,92.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,6.0,253.0,25.0,137.0,119.0,16.0,92.0,3.0,8.0,108.0,115.0,103.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0,0.67,6.0,6.0,6.0,6.0,0,0.0,0
pair_gran_hooke_history_omp.h,510,0.0,0.0,0.0,13.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,11.0,11.0,8.0,0.0,15.0,3.0,8.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0,0.0,0
pair_gran_hooke_history.h,511,0.0,0.0,0.0,16.0,45.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,105.0,14.0,37.0,34.0,0.0,47.0,3.0,7.0,32.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,3,6.0,1
fix_minimize.h,512,0.0,1.0,0.0,14.0,33.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,62.0,12.0,25.0,22.0,0.0,15.0,3.0,7.0,19.0,21.0,21.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6,1.0,1.0,1.0,1.0,0,0.0,0
freebodyjoint.h,513,0.0,0.0,0.0,6.0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,6.0,15.0,13.0,0.0,16.0,0.0,4.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0,0.0,0
joint.h,514,0.0,0.0,0.0,22.0,81.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,123.0,22.0,75.0,72.0,6.0,29.0,0.0,6.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0,0.0,0
fix_viscous.cpp,515,1.0,9.0,0.0,28.0,92.0,25.0,2.0,2.0,3.0,1.0,10.0,1.0,9.0,0.0,0.0,9.0,145.0,28.0,83.0,26.0,47.0,25.0,0.0,9.0,46.0,69.0,25.0,0.0,44.0,7.0,7.0,8.0,1.0,3.0,0.3,22.0,22.0,23.0,9.0,2,4.0,1
fix_viscous.h,516,0.0,0.0,0.0,11.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,9.0,17.0,14.0,0.0,21.0,3.0,7.0,12.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0,0.0,0
TestOpenMP_SubView_b.cpp,517,0.0,5.0,0.0,5.0,13.0,43.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,2.0,60.0,5.0,12.0,4.0,6.0,43.0,0.0,1.0,6.0,9.0,3.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,3.58,2.0,2.0,2.0,2.0,8,10.0,5
fix_nve_intel.h,518,0.0,0.0,0.0,12.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,10.0,15.0,12.0,0.0,24.0,3.0,7.0,10.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0,0.0,0
fix_ave_histo_weight.h,519,0.0,1.0,0.0,11.0,21.0,34.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,66.0,9.0,12.0,9.0,0.0,34.0,3.0,8.0,6.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.83,1.0,1.0,1.0,1.0,1,2.0,0
fix_ave_histo.h,520,0.0,0.0,0.0,16.0,48.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,233.0,14.0,39.0,36.0,0.0,169.0,3.0,8.0,34.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.0,0.0,0.0,1,2.0,0
lammps_data_write.cpp,521,1.0,11.0,0.0,45.0,188.0,17.0,3.0,3.0,3.0,1.0,11.0,1.0,11.0,0.0,0.0,17.0,250.0,45.0,181.0,36.0,120.0,17.0,0.0,7.0,124.0,167.0,35.0,2.0,130.0,8.0,8.0,8.0,1.0,4.0,0.09,43.0,43.0,43.0,17.0,0,0.0,0
lammps_data_write.h,522,0.0,0.0,0.0,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,9.0,34.0,31.0,0.0,0.0,0.0,5.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
fix_ave_correlate.h,523,0.0,0.0,0.0,16.0,41.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,141.0,14.0,32.0,29.0,0.0,89.0,3.0,8.0,27.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,1,2.0,0
pair_morse_opt.h,524,0.0,0.0,0.0,10.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,8.0,9.0,6.0,0.0,12.0,3.0,7.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0,0.0,0
ntopo_angle_template.cpp,525,4.0,39.0,0.0,14.0,91.0,14.0,7.0,7.0,10.0,3.0,42.0,4.0,39.0,0.0,0.0,2.0,119.0,14.0,78.0,20.0,55.0,14.0,0.0,13.0,56.0,71.0,20.0,0.0,51.0,13.0,13.0,18.0,6.0,4.0,0.18,14.0,14.0,19.0,7.0,0,0.0,0
ntopo_angle_template.h,526,0.0,1.0,0.0,10.0,16.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,41.0,8.0,8.0,6.0,0.0,15.0,3.0,7.0,3.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.88,1.0,1.0,1.0,1.0,1,2.0,0
Kokkos_Qthread_Parallel.hpp,527,1.0,7.0,0.0,129.0,503.0,103.0,1.0,1.0,1.0,1.0,8.0,1.0,7.0,0.0,5.0,48.0,727.0,129.0,483.0,298.0,109.0,103.0,4.0,20.0,180.0,252.0,148.0,0.0,104.0,3.0,3.0,3.0,1.0,2.0,0.21,71.0,71.0,71.0,48.0,0,0.0,0
TestDefaultDeviceTypeInit_12.cpp,528,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0
TimeFilter.cpp,529,0.0,10.0,5.0,36.0,168.0,180.0,2.0,2.0,3.0,1.0,15.0,0.0,10.0,5.0,0.0,16.0,382.0,36.0,166.0,49.0,74.0,180.0,0.0,2.0,54.0,96.0,22.0,0.0,74.0,13.0,13.0,15.0,1.0,3.0,1.08,39.0,39.0,42.0,16.0,0,0.0,0
ATC_Transfer.h,530,0.0,1.0,0.0,54.0,131.0,81.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,256.0,54.0,122.0,119.0,10.0,81.0,0.0,9.0,99.0,101.0,98.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.66,2.0,2.0,2.0,2.0,0,0.0,0
TimeFilter.h,531,0.0,3.0,0.0,200.0,355.0,218.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,10.0,99.0,769.0,200.0,348.0,252.0,98.0,218.0,0.0,7.0,231.0,241.0,150.0,0.0,91.0,3.0,3.0,4.0,1.0,1.0,0.63,101.0,101.0,103.0,99.0,0,0.0,0
KD_Tree.cpp,532,2.0,27.0,3.0,17.0,137.0,17.0,6.0,6.0,7.0,1.0,32.0,2.0,27.0,3.0,0.0,5.0,169.0,17.0,135.0,37.0,94.0,17.0,0.0,2.0,86.0,116.0,34.0,0.0,82.0,13.0,13.0,15.0,4.0,4.0,0.13,30.0,30.0,33.0,8.0,1,1.0,0
KD_Tree.h,533,0.0,3.0,0.0,21.0,66.0,2.0,1.0,1.0,2.0,1.0,4.0,0.0,3.0,0.0,2.0,10.0,89.0,21.0,57.0,30.0,20.0,2.0,0.0,9.0,29.0,42.0,25.0,0.0,17.0,4.0,4.0,4.0,4.0,1.0,0.04,13.0,13.0,15.0,13.0,1,1.0,0
pair_sw_gpu.cpp,535,3.0,20.0,0.0,34.0,164.0,28.0,3.0,3.0,3.0,1.0,22.0,3.0,20.0,0.0,0.0,6.0,226.0,34.0,145.0,48.0,93.0,28.0,0.0,19.0,86.0,103.0,25.0,0.0,78.0,6.0,6.0,6.0,1.0,1.0,0.19,16.0,16.0,17.0,6.0,0,0.0,0
pair_sw_gpu.h,536,0.0,0.0,0.0,13.0,23.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,11.0,15.0,12.0,0.0,33.0,3.0,7.0,10.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0,0.0,0
gpu_extra.h,537,0.0,22.0,0.0,8.0,51.0,74.0,8.0,8.0,8.0,1.0,22.0,0.0,22.0,0.0,0.0,2.0,133.0,8.0,46.0,7.0,37.0,74.0,0.0,5.0,18.0,32.0,5.0,0.0,27.0,13.0,13.0,13.0,1.0,2.0,1.61,15.0,15.0,15.0,2.0,1,1.0,1
fix_ti_spring.h,538,0.0,0.0,0.0,14.0,48.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,12.0,40.0,37.0,0.0,45.0,3.0,7.0,35.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,3,4.0,2
pair_eam_kokkos.cpp,539,4.0,24.0,2.0,149.0,637.0,87.0,5.0,5.0,6.0,1.0,30.0,4.0,24.0,2.0,0.0,24.0,873.0,149.0,618.0,204.0,443.0,87.0,1.0,18.0,386.0,496.0,151.0,0.0,345.0,36.0,36.0,39.0,1.0,4.0,0.14,123.0,123.0,142.0,24.0,21,26.0,14
kokkos.h,540,0.0,0.0,0.0,8.0,27.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0,8.0,22.0,19.0,0.0,37.0,0.0,5.0,17.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,10,14.0,8
